module_id	series_name	series_description	series_slug	time_limit	is_free	question_number	question_content	question_points	question_media_url	question_media_type
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 1	Série de tests d'expression écrite numéro 1	expression-ecrite-serie-1	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre ville natale et expliquez pourquoi elle vous plaît."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 2	Série de tests d'expression écrite numéro 2	expression-ecrite-serie-2	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Racontez un souvenir d'enfance qui vous a marqué."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 3	Série de tests d'expression écrite numéro 3	expression-ecrite-serie-3	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre plat préféré et expliquez comment le préparer."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 4	Série de tests d'expression écrite numéro 4	expression-ecrite-serie-4	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez de votre animal de compagnie ou d'un animal que vous aimeriez avoir."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 5	Série de tests d'expression écrite numéro 5	expression-ecrite-serie-5	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez une journée type de votre vie quotidienne."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 6	Série de tests d'expression écrite numéro 6	expression-ecrite-serie-6	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'un livre ou d'un film qui vous a plu récemment."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 7	Série de tests d'expression écrite numéro 7	expression-ecrite-serie-7	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre saison préférée et expliquez pourquoi vous l'aimez."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 8	Série de tests d'expression écrite numéro 8	expression-ecrite-serie-8	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'un voyage que vous avez fait ou que vous aimeriez faire."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 9	Série de tests d'expression écrite numéro 9	expression-ecrite-serie-9	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Décrivez votre métier ou celui que vous aimeriez exercer."	10			
1ece538c-8d39-4bea-8819-b0927dee4751	Expression Écrite - Série 10	Série de tests d'expression écrite numéro 10	expression-ecrite-serie-10	60	true	1	"Rédigez un texte de 60 à 80 mots sur le sujet suivant : Parlez d'une fête ou d'une célébration importante dans votre culture."	10			
